Date,Open,High,Low,Close,Adj Close,Volume
2017-07-18,4.200890,4.205620,4.193000,4.200930,4.200930,0
2017-07-19,4.198220,4.216600,4.195000,4.198180,4.198180,0
2017-07-20,4.204990,4.215220,4.200000,4.205120,4.205120,0
2017-07-21,4.213650,4.263050,4.212820,4.214400,4.214400,0
2017-07-24,4.264660,4.269910,4.234120,4.266300,4.266300,0
2017-07-25,4.261590,4.263600,4.244000,4.262900,4.262900,0
2017-07-26,4.262500,4.265150,4.246000,4.262720,4.262720,0
2017-07-27,4.246190,4.266330,4.245490,4.247800,4.247800,0
2017-07-28,4.247040,4.261500,4.242000,4.247900,4.247900,0
2017-07-31,4.252330,4.259460,4.244000,4.254600,4.254600,0
2017-08-01,4.251810,4.261800,4.244000,4.252050,4.252050,0
2017-08-02,4.255110,4.257600,4.246000,4.254970,4.254970,0
2017-08-03,4.254500,4.260600,4.238000,4.255600,4.255600,0
2017-08-04,4.240400,4.245000,4.232000,4.241300,4.241300,0
2017-08-07,4.242860,4.253900,4.237000,4.240090,4.240090,0
2017-08-08,4.251460,4.261500,4.249000,4.251700,4.251700,0
2017-08-09,4.264400,4.268820,4.254000,4.263900,4.263900,0
2017-08-10,4.268100,4.283000,4.263000,4.268100,4.268100,0
2017-08-11,4.280650,4.294300,4.272000,4.280200,4.280200,0
2017-08-14,4.290030,4.291500,4.274000,4.290000,4.290000,0
2017-08-15,4.284910,4.295200,4.269620,4.285300,4.285300,0
2017-08-16,4.287400,4.292300,4.258000,4.289700,4.289700,0
2017-08-17,4.266760,4.273800,4.248000,4.266600,4.266600,0
2017-08-18,4.267450,4.284000,4.261000,4.270530,4.270530,0
2017-08-21,4.276700,4.277660,4.263000,4.275780,4.275780,0
2017-08-22,4.276290,4.281040,4.268000,4.276400,4.276400,0
2017-08-23,4.271460,4.287310,4.268000,4.273400,4.273400,0
2017-08-24,4.282600,4.287800,4.257000,4.282500,4.282500,0
2017-08-25,4.260350,4.262400,4.246370,4.260500,4.260500,0
2017-08-28,4.250880,4.264200,4.240000,4.251700,4.251700,0
2017-08-29,4.252700,4.270960,4.244000,4.252840,4.252840,0
2017-08-30,4.252740,4.264000,4.251000,4.253000,4.253000,0
2017-08-31,4.252500,4.262700,4.244000,4.253800,4.253800,0
2017-09-01,4.244450,4.257100,4.235000,4.244460,4.244460,0
2017-09-04,4.251010,4.262900,4.234000,4.251060,4.251060,0
2017-09-05,4.239190,4.243480,4.228000,4.239070,4.239070,0
2017-09-06,4.231230,4.253590,4.229000,4.232500,4.232500,0
2017-09-07,4.247280,4.257780,4.236000,4.248100,4.248100,0
2017-09-08,4.245810,4.256930,4.242000,4.245560,4.245560,0
2017-09-11,4.240560,4.251770,4.235000,4.241200,4.241200,0
2017-09-12,4.243500,4.266500,4.243000,4.244900,4.244900,0
2017-09-13,4.255020,4.285500,4.254200,4.257000,4.257000,0
2017-09-14,4.280800,4.287920,4.274000,4.282100,4.282100,0
2017-09-15,4.276180,4.282420,4.263000,4.278800,4.278800,0
2017-09-18,4.274690,4.291600,4.272000,4.276700,4.276700,0
2017-09-19,4.292910,4.295100,4.270000,4.292970,4.292970,0
2017-09-20,4.279690,4.282480,4.267000,4.279690,4.279690,0
2017-09-21,4.275800,4.287860,4.265630,4.275590,4.275590,0
2017-09-22,4.275890,4.278790,4.258000,4.275660,4.275660,0
2017-09-25,4.268450,4.277770,4.260000,4.268490,4.268490,0
2017-09-26,4.271550,4.294860,4.269000,4.271560,4.271560,0
2017-09-27,4.285400,4.318430,4.281670,4.284460,4.284460,0
2017-09-28,4.322810,4.330670,4.303000,4.323350,4.323350,0
2017-09-29,4.315100,4.318800,4.290000,4.315160,4.315160,0
2017-10-02,4.313500,4.320010,4.297330,4.303600,4.303600,0
2017-10-03,4.307340,4.317300,4.303600,4.307290,4.307290,0
2017-10-04,4.313650,4.323000,4.292470,4.312910,4.312910,0
